Metric,Value
total_episodes,41.0
avg_episode_length,152.34146341463415
max_total_reward,2214.0
avg_total_reward,694.780487804878
reward_std,495.593760664676
final_100_avg_reward,694.780487804878
completion_rate,97.5609756097561
